N047.56.31.6330008 E000.11.53.3159988 02
N047.57.04.5489996 E000.12.11.4480 20
N047.56.41.1810 E000.11.54.5010 A
N047.56.58.7270004 E000.12.04.3740 B
N047.57.13.6289988 E000.12.12.5349984 C
N047.56.47.0000004 E000.11.54.6320004 P1
N047.56.53.5250004 E000.11.58.3180008 P2
N047.57.02.4310008 E000.12.03.3210 P3
N047.57.10.0140012 E000.12.07.2699984 P4
