N047.16.43.1090004 E005.05.26.4789996 E5

N047.16.48.6879996 E005.05.08.5819992 D

N047.15.51.5329992 E005.05.36.4310016 B

N047.15.59.2589988 E005.05.15.7430004 B

N047.15.24.0149988 E005.05.37.4610012 A

N047.16.31.2110004 E005.04.39.0339984 C

N047.15.52.1399988 E005.04.53.1360012 X

N047.15.52.4319984 E005.04.51.1590 X

N047.15.53.8809984 E005.04.49.2160008 X

N047.16.11.8030008 E005.04.56.0970012 X

N047.16.10.6730004 E005.04.55.6520016 X

N047.16.08.1170004 E005.04.54.6449988 X
