N046.50.59.5140 E001.43.06.7010016 03
N046.52.32.3230008 E001.44.34.3690008 21
N046.52.08.0969988 E001.44.03.1660008 B
N046.51.39.0319992 E001.43.34.5709992 C
N046.51.22.3859988 E001.43.18.7280004 D
N046.51.03.0980016 E001.43.00.3730008 E
N046.51.29.9779992 E001.43.42.7460016 F
N046.50.54.5600004 E001.43.11.0480016 G
N046.51.56.2269996 E001.43.45.4389996 T2
N046.51.30.3329988 E001.43.20.3990016 T3
N046.51.12.4710012 E001.42.57.9870 T4
