N045.55.23.8559988 E006.05.35.4890004 A

N045.55.32.9499984 E006.05.45.8189988 B

N045.55.56.4350016 E006.06.13.8480012 C

N045.56.04.3839996 E006.06.23.2599996 D

N045.55.32.7529992 E006.05.53.2309992 G1

N045.55.34.7499984 E006.05.58.4340 B

N045.55.38.9830008 E006.06.00.3089988 G2

N045.55.40.4789988 E006.06.03.4449984 T

N045.55.46.4450016 E006.06.08.6850 G3

N045.55.51.7980 E006.06.14.8320 G4
