N046.10.46.3249992 W001.12.23.5950012 09

N046.10.44.4540 W001.11.18.0849984 27

N046.10.41.6840016 W001.11.42.9169992 A

N046.10.37.2280008 W001.11.44.3050008 B

N046.10.37.4090016 W001.11.37.4600004 C

N046.10.36.3349992 W001.11.43.4040 D

N046.10.37.7649984 W001.11.44.6319996 G

N046.10.39.0740016 W001.11.44.5300008 G1

N046.10.35.6070 W001.11.43.3380012 X

N046.10.35.1720012 W001.11.43.8900 X

N046.10.34.4359992 W001.11.42.9510012 X
