N045.12.53.8920 E005.50.41.8700004 E1
N045.12.57.8369988 E005.50.47.1779988 E2
N045.12.59.9280012 E005.50.43.3880016 W1
N045.13.04.0959984 E005.50.55.5470016 E3
N045.13.06.1790016 E005.50.51.7830 W2
N045.13.09.0969996 E005.51.02.1440016 E4
N045.13.11.1650016 E005.50.58.6780008 W3
N045.13.14.4279984 E005.51.09.3710016 E5
N045.13.03.9180 E005.51.01.2520008 F
N045.13.01.7280012 E005.51.00.8129988 E
