N048.35.10.6280016 W002.04.22.7629992 A
N048.35.12.8389992 W002.04.29.6050008 B
N048.35.08.1449988 W002.04.12.9090 D
N048.35.43.1800008 W002.05.02.1360012 G
N048.35.30.1009992 W002.05.10.6500012 S1
N048.35.28.0700016 W002.05.12.3609984 E1
N048.35.29.7800016 W002.05.17.1970008 E2
N048.35.27.1610016 W002.05.14.9960004 E
N048.35.23.3120004 W002.05.21.2169984 F
N048.35.32.2360008 W002.04.45.5480004 H
N048.35.19.8470004 W002.04.41.9930004 J
N048.35.13.5859992 W002.04.33.0589992 C
