N041.30.34.3569996 E009.06.27.2909988 23
N041.29.43.0360008 E009.05.12.4730016 05
N041.30.03.3149988 E009.05.54.1179996 A
N041.30.02.7090 E009.05.53.2460004 B
N041.30.06.0890004 E009.05.51.9129996 C
N041.30.12.0300012 E009.06.00.6699996 K
N041.30.10.5000012 E009.06.02.4099984 K1
N041.30.08.7300 E009.05.44.2209984 O
N041.30.05.7359988 E009.05.39.7349988 P
N041.30.08.9600004 E009.05.58.5099996 H
