N046.41.59.0110008 W001.22.37.7739984 A
N046.41.58.8320016 W001.22.36.4519992 B
N046.41.58.5330 W001.22.34.4790012 C
N046.41.58.3530 W001.22.33.3620004 D
N046.41.58.2860004 W001.22.32.4620004 E
N046.41.57.7100004 W001.22.33.7040004 E2
N046.41.57.9639984 W001.22.35.7790008 C2
N046.41.58.3080 W001.22.38.1500004 B2
N046.41.57.5679984 W001.22.39.2900016 TWR
