N049.01.12.5180004 E002.34.15.2010012 QB9
N049.01.13.0149984 E002.34.41.9059992 QB10
N049.01.09.2880012 E002.34.47.9660016 QB11
N049.00.53.8840008 E002.34.51.3750 QB12
N049.00.48.1100004 E002.29.37.1339988 M
N049.00.49.5399996 E002.29.49.5939984 M
N049.00.50.5620 E002.30.05.9990004 M
N049.00.51.7200012 E002.30.23.1310008 M
N049.00.52.8090012 E002.30.40.7819988 M
N049.00.53.3540016 E002.30.56.4609996 M
N049.00.55.1930004 E002.31.26.5720008 M
N049.00.59.7560004 E002.31.50.9720016 M
N049.01.04.4600016 E002.31.37.1600004 MD1
N049.01.01.0499988 E002.31.41.1899988 MD1
N049.01.05.0139984 E002.31.39.1429992 MD2
N049.01.00.4969992 E002.31.38.5169988 MD2
N049.00.50.9500008 E002.29.43.7499996 BM1
N049.00.55.6200 E002.29.45.4300008 BM1
N049.00.53.8599996 E002.29.56.1999984 BM2
N049.00.54.6000012 E002.30.15.5400012 BM3
N049.00.56.2100004 E002.30.46.5199992 BM4
N049.01.00.3690012 E002.31.35.0860008 BM5
N049.01.01.3900008 E002.31.43.7499984 BM6
N049.01.04.0900008 E002.32.22.1039988 A
N049.00.55.4690016 E002.32.10.7670012 A
N049.00.47.4320016 E002.32.12.0130008 A
N049.00.42.7610016 E002.32.16.2489984 A
N049.00.42.6650004 E002.32.32.1560016 A
N049.00.43.0740 E002.32.42.4349988 A
N049.00.47.2280004 E002.32.48.6650004 A
N049.01.01.0539984 E002.32.44.0970 A
N049.01.04.3910004 E002.32.31.4289996 A
N049.01.00.8600016 E002.32.13.6600008 A-1
N049.01.04.3399992 E002.32.39.9800004 A-2
N049.01.05.6169984 E002.32.08.6899992 DA1
N049.01.02.2000008 E002.32.09.1299984 DA1
N049.00.47.4350004 E002.32.26.2650012 A3
N049.00.52.3969992 E002.32.23.4240 A3
N049.00.56.5380 E002.32.29.7369996 A3
N049.00.53.1600012 E002.32.37.4619984 A3
N049.00.44.4600 E002.32.36.1320 A3
N049.00.45.3899988 E002.33.18.2930004 A4
N049.00.44.3000016 E002.32.57.8100012 NA1
N049.00.59.6980008 E002.32.55.6199988 N
N049.00.52.1129988 E002.32.56.6829996 N
N049.00.45.7930008 E002.32.58.8760008 N
N049.00.40.2140016 E002.33.01.2020004 N
N049.00.26.5470012 E002.33.07.5139992 N
N049.00.18.8849988 E002.33.10.5959988 N
N049.00.14.0960016 E002.33.12.7059984 N
N049.00.06.9660 E002.33.15.7880016 N
N048.59.57.9210 E002.33.19.3370004 N
N048.59.54.5960004 E002.33.24.0009984 N
N048.59.53.2650012 E002.33.31.3020 N
N049.01.03.3099996 E002.30.56.3100012 NW1
N049.01.03.6500016 E002.31.02.5500 NW2
N049.01.04.0100016 E002.31.09.0699996 NW3
N049.01.04.4400 E002.31.16.9100004 NW4
N049.01.10.7699988 E002.33.16.4430 NE1
N049.01.11.0880012 E002.33.23.9100012 NE2
