COLOR_GrasSurface
N043.39.25.1420004 E001.21.10.3200012
N043.39.25.2029988 E001.21.10.1990016
N043.39.25.2950004 E001.21.10.0580004
N043.39.25.3699992 E001.21.09.9730008
N043.39.25.4599992 E001.21.09.8859996
N043.39.25.5390012 E001.21.09.8380008
N043.39.25.6140 E001.21.09.8049996
N043.39.25.6989996 E001.21.09.7750008
N043.39.25.8149988 E001.21.09.7449984
N043.39.25.9670016 E001.21.09.7099992
N043.39.26.0579988 E001.21.09.6999984
N043.39.26.2310004 E001.21.09.6829992
N043.39.26.3959992 E001.21.09.6750
N043.39.26.5070016 E001.21.09.6890004
N043.39.26.5979988 E001.21.09.7179984
N043.39.26.7030 E001.21.09.7890012
N043.39.26.8080012 E001.21.09.8740008
N043.39.26.9039988 E001.21.09.9780012
N043.39.27.0090 E001.21.10.1120004
N043.39.27.0650016 E001.21.10.1999988
N043.39.27.1069992 E001.21.10.3370004
N043.39.27.1890 E001.21.10.6639992
N043.39.27.3449988 E001.21.11.3270004
N043.39.27.4439988 E001.21.11.7619992
N043.39.27.4629996 E001.21.11.8710
N043.39.27.4749984 E001.21.11.9940012
N043.39.27.5029992 E001.21.12.2990004
N043.39.28.5750 E001.21.12.1899996
N043.39.28.5570 E001.21.11.8360008
N043.39.28.5530004 E001.21.11.6859996
N043.39.28.5580008 E001.21.11.4699996
N043.39.28.5850008 E001.21.11.1139992
N043.39.28.6539984 E001.21.10.4169996
N043.39.28.6819992 E001.21.10.1930004
N043.39.28.7020008 E001.21.10.0559988
N043.39.28.7319996 E001.21.09.9169992
N043.39.28.7750016 E001.21.09.7940016
N043.39.28.8240012 E001.21.09.6879996
N043.39.28.8830016 E001.21.09.5979996
N043.39.28.9590012 E001.21.09.5109984
N043.39.29.0469996 E001.21.09.4340016
N043.39.29.1780 E001.21.09.3510
N043.39.29.2970016 E001.21.09.3080016
N043.39.29.4469992 E001.21.09.2710008
N043.39.31.4709984 E001.21.09.0000
N043.39.31.3530012 E001.21.07.4649996
N043.39.24.6499992 E001.21.08.3859984
N043.39.24.5949984 E001.21.08.3760012
N043.39.24.3579996 E001.21.08.2159992
N043.39.24.2740008 E001.21.08.1470016
N043.39.24.2340012 E001.21.08.0930016
N043.39.24.0720012 E001.21.07.7619996
N043.39.24.0379992 E001.21.07.6749984
N043.39.24.0199992 E001.21.07.5729996
N043.39.23.9199984 E001.21.06.1629984
N043.39.24.0459984 E001.21.06.1499988
N043.39.23.4140004 E001.20.56.9810004
N043.39.22.4359992 E001.20.57.0900012
N043.39.23.0469984 E001.21.05.0529996
N043.39.23.0690016 E001.21.05.3470008
N043.39.23.1080004 E001.21.05.6210004
N043.39.23.1570 E001.21.05.9910012
N043.39.23.1860016 E001.21.06.2399988
N043.39.23.2769988 E001.21.06.2259984
N043.39.23.3650008 E001.21.07.4369988
N043.39.23.3740008 E001.21.07.6349988
N043.39.23.3640 E001.21.07.7739984
N043.39.23.3370 E001.21.07.9189992
N043.39.23.2930008 E001.21.08.0690004
N043.39.23.2279992 E001.21.08.2230012
N043.39.23.1419988 E001.21.08.3750004
N043.39.23.0490 E001.21.08.4989988
N043.39.22.9799988 E001.21.08.5669992
N043.39.22.8960 E001.21.08.6240016
N043.39.22.2350004 E001.21.08.7170004
N043.39.22.1270004 E001.21.08.7090012
N043.39.21.9800016 E001.21.08.6699988
N043.39.21.8729988 E001.21.08.6169996
N043.39.21.7940004 E001.21.08.5520016
N043.39.21.7159992 E001.21.08.4560004
N043.39.21.6569988 E001.21.08.3419992
N043.39.21.6230004 E001.21.08.2239984
N043.39.21.6010008 E001.21.08.0830008
N043.39.21.4300008 E001.21.06.4699992
N043.39.21.6119988 E001.21.06.4519992
N043.39.20.9480004 E001.20.57.3150012
N043.39.19.9969992 E001.20.57.4329984
N043.39.20.6750016 E001.21.06.5840004
N043.39.20.8400004 E001.21.06.5589984
N043.39.20.9430 E001.21.07.9760016
N043.39.20.9490012 E001.21.08.1110016
N043.39.20.9469996 E001.21.08.2249992
N043.39.20.9270016 E001.21.08.3329992
N043.39.20.8959984 E001.21.08.4499992
N043.39.20.8509984 E001.21.08.5449996
N043.39.20.7789984 E001.21.08.6550012
N043.39.20.6870004 E001.21.08.7590016
N043.39.20.5920 E001.21.08.8359984
N043.39.20.4900012 E001.21.08.9020008
N043.39.20.3789988 E001.21.08.9539992
N043.39.20.2849992 E001.21.08.9820
N043.39.19.2600 E001.21.09.1199988
N043.39.19.1250 E001.21.09.1289988
N043.39.19.0220004 E001.21.09.1249992
N043.39.18.9169992 E001.21.09.0939996
N043.39.18.8039988 E001.21.09.0360
N043.39.18.6950016 E001.21.08.9499996
N043.39.18.6000012 E001.21.08.8409988
N043.39.18.5180004 E001.21.08.6799996
N043.39.18.4700016 E001.21.08.5209984
N043.39.18.4420008 E001.21.08.3509992
N043.39.18.3579984 E001.21.07.1390016
N043.39.18.5420016 E001.21.07.1169984
N043.39.17.8359984 E001.20.57.6719988
N043.39.16.8670008 E001.20.57.8240016
N043.39.17.5070016 E001.21.06.5769984
N043.39.17.5380012 E001.21.06.7700016
N043.39.17.5700016 E001.21.06.9210
N043.39.17.7109992 E001.21.07.2479988
N043.39.17.8080012 E001.21.08.5700016
N043.39.17.8089984 E001.21.08.6860008
N043.39.17.7869988 E001.21.08.7959988
N043.39.17.7519996 E001.21.08.9100
N043.39.17.7000012 E001.21.09.0439992
N043.39.17.6230008 E001.21.09.1530
N043.39.17.5240008 E001.21.09.2409984
N043.39.17.3459988 E001.21.09.3480012
N043.39.17.2149984 E001.21.09.3980016
N043.39.17.0840016 E001.21.09.4230
N043.39.16.3779984 E001.21.09.5209992
N043.39.15.4230012 E001.21.09.6549984
N043.39.15.2449992 E001.21.09.6770016
N043.39.15.1679988 E001.21.09.6770016
N043.39.15.0760008 E001.21.09.6649992
N043.39.14.9789988 E001.21.09.6270012
N043.39.14.8910004 E001.21.09.5829984
N043.39.14.7830004 E001.21.09.5150016
N043.39.14.6720016 E001.21.09.4370004
N043.39.14.5569996 E001.21.09.3420
N043.39.14.4560016 E001.21.09.2450016
N043.39.14.3870004 E001.21.09.1649988
N043.39.14.3089992 E001.21.09.0479988
N043.39.14.2319988 E001.21.08.9250012
N043.39.14.1490008 E001.21.08.7770016
N043.39.14.0960016 E001.21.08.6590008
N043.39.14.0479992 E001.21.08.5470012
N043.39.14.0109984 E001.21.08.4229992
N043.39.13.9790016 E001.21.08.2820016
N043.39.13.9590 E001.21.08.1000
N043.39.13.5730008 E001.21.02.7699984
N043.39.13.2300 E001.20.58.0210008
N043.39.13.2099984 E001.20.57.8569992
N043.39.13.1749992 E001.20.57.6899988
N043.39.13.1240016 E001.20.57.5250
N043.39.13.0629996 E001.20.57.3540
N043.39.12.9870 E001.20.57.1840008
N043.39.12.9179988 E001.20.57.0509988
N043.39.12.8450016 E001.20.56.9360004
N043.39.12.7540008 E001.20.56.8259988
N043.39.12.6479988 E001.20.56.7170016
N043.39.12.5370 E001.20.56.6270016
N043.39.12.4089984 E001.20.56.5479996
N043.39.12.2780016 E001.20.56.4860004
N043.39.12.1520016 E001.20.56.4470016
N043.39.11.9900016 E001.20.56.4219996
N043.39.11.8509984 E001.20.56.4309996
N043.39.10.2070008 E001.20.56.6769984
N043.39.10.3129992 E001.20.57.7659984
N043.39.11.1219984 E001.20.57.6489984
N043.39.11.2370004 E001.20.57.6409992
N043.39.11.3860008 E001.20.57.6399984
N043.39.11.5300008 E001.20.57.6600
N043.39.11.6799984 E001.20.57.7089996
N043.39.11.7380016 E001.20.57.7340016
N043.39.11.8800 E001.20.57.8249988
N043.39.12.0420 E001.20.57.9450012
N043.39.12.1510008 E001.20.58.0629984
N043.39.12.2550012 E001.20.58.1979984
N043.39.12.3509988 E001.20.58.3620
N043.39.12.4220016 E001.20.58.5039984
N043.39.12.4700004 E001.20.58.6209984
N043.39.12.5089992 E001.20.58.7519988
N043.39.12.5300016 E001.20.58.8810012
N043.39.12.5340012 E001.20.59.0070012
N043.39.12.5259984 E001.20.59.1290016
N043.39.12.5020008 E001.20.59.2689984
N043.39.12.4560 E001.20.59.4369996
N043.39.12.3980004 E001.20.59.6040
N043.39.12.3170004 E001.20.59.7770016
N043.39.12.2240016 E001.20.59.9409996
N043.39.12.1280004 E001.21.00.0699984
N043.39.12.0369996 E001.21.00.1680012
N043.39.11.9310012 E001.21.00.2670012
N043.39.11.8220004 E001.21.00.3549996
N043.39.11.7159984 E001.21.00.4179996
N043.39.11.5729992 E001.21.00.4709988
N043.39.11.4289992 E001.21.00.5109984
N043.39.10.5789996 E001.21.00.6329988
N043.39.10.6719984 E001.21.01.7169984
N043.39.11.3649984 E001.21.01.6089984
N043.39.11.5229988 E001.21.01.5930
N043.39.11.6629992 E001.21.01.5909984
N043.39.11.8220004 E001.21.01.6210008
N043.39.11.9840004 E001.21.01.6819992
N043.39.12.1280004 E001.21.01.7650008
N043.39.12.2469984 E001.21.01.8489996
N043.39.12.3720012 E001.21.01.9689984
N043.39.12.4750008 E001.21.02.0940012
N043.39.12.5960004 E001.21.02.2839984
N043.39.12.6979992 E001.21.02.4980004
N043.39.12.7590012 E001.21.02.6960004
N043.39.12.7990008 E001.21.02.8730016
N043.39.12.8000016 E001.21.03.0970008
N043.39.12.7869984 E001.21.03.3400008
N043.39.12.7630008 E001.21.03.5300016
N043.39.12.7289988 E001.21.03.6929988
N043.39.12.6740016 E001.21.03.8710008
N043.39.12.6020016 E001.21.04.0590
N043.39.12.5169984 E001.21.04.2279984
N043.39.12.4179984 E001.21.04.3790004
N043.39.12.3030 E001.21.04.5180
N043.39.12.1629996 E001.21.04.6500012
N043.39.12.0250008 E001.21.04.7480004
N043.39.11.9170008 E001.21.04.8089988
N043.39.11.8029996 E001.21.04.8510
N043.39.11.6660016 E001.21.04.8859992
N043.39.10.8389988 E001.21.05.0040
N043.39.11.0030004 E001.21.06.7320
N043.39.11.7280008 E001.21.06.6359988
N043.39.11.8699992 E001.21.06.6229992
N043.39.12.0110004 E001.21.06.6240
N043.39.12.1510008 E001.21.06.6589992
N043.39.12.2590008 E001.21.06.7060008
N043.39.12.3869988 E001.21.06.7759992
N043.39.12.5150004 E001.21.06.8500008
N043.39.12.6330012 E001.21.06.9500016
N043.39.12.7350 E001.21.07.0610004
N043.39.12.7950012 E001.21.07.1449992
N043.39.12.8739996 E001.21.07.2630
N043.39.12.9549996 E001.21.07.4130012
N043.39.13.0209984 E001.21.07.5650004
N043.39.13.0780008 E001.21.07.7270004
N043.39.13.1209992 E001.21.07.9070004
N043.39.13.1590008 E001.21.08.1190008
N043.39.13.1850 E001.21.08.3070
N043.39.13.2050016 E001.21.08.5309992
N043.39.13.2220008 E001.21.08.8809984
N043.39.13.2270012 E001.21.09.1310004
N043.39.13.2220008 E001.21.09.2940012
N043.39.13.2019992 E001.21.09.4529988
N043.39.13.1720004 E001.21.09.6300
N043.39.13.1259996 E001.21.09.8229996
N043.39.13.0759992 E001.21.09.9870012
N043.39.13.0140 E001.21.10.1620008
N043.39.12.9340008 E001.21.10.3259988
N043.39.12.8270016 E001.21.10.4990004
N043.39.12.7069992 E001.21.10.6779996
N043.39.12.6100008 E001.21.10.7930016
N043.39.12.5150004 E001.21.10.8849996
N043.39.12.4009992 E001.21.10.9839996
N043.39.12.2760 E001.21.11.0720016
N043.39.11.6669988 E001.21.11.4440004
N043.39.11.4360012 E001.21.11.5850016
N043.39.11.1089988 E001.21.11.7780012
N043.39.10.7520012 E001.21.11.9610
N043.39.10.6340004 E001.21.12.0170016
N043.39.10.5540012 E001.21.12.0549996
N043.39.10.4770008 E001.21.12.0800016
N043.39.07.3389996 E001.21.12.7090008
N043.39.06.7669992 E001.21.12.8210004
N043.39.06.5189988 E001.21.12.8649996
N043.39.06.1329996 E001.21.12.9179988
N043.39.05.8420008 E001.21.12.9579984
N043.39.05.3740008 E001.21.13.0219992
N043.39.04.9629996 E001.21.13.0709988
N043.39.04.6640016 E001.21.13.1040
N043.39.04.5650016 E001.21.13.1130
N043.39.04.4039988 E001.21.13.1180004
N043.39.02.8000008 E001.21.13.1330016
N043.39.02.7079992 E001.21.13.1299992
N043.39.02.6259984 E001.21.13.1209992
N043.39.02.5210008 E001.21.13.1029992
N043.39.02.3969988 E001.21.13.0730004
N043.39.02.2680 E001.21.13.0129992
N043.39.02.1160008 E001.21.12.9250008
N043.39.01.9659996 E001.21.12.8160
N043.39.01.8529992 E001.21.12.7109988
N043.39.01.7340012 E001.21.12.5560008
N043.39.01.6620012 E001.21.12.4520004
N043.39.01.5779988 E001.21.12.2969988
N043.39.01.4940 E001.21.12.1010004
N043.39.01.3880016 E001.21.11.8000008
N043.39.01.3430016 E001.21.11.6610012
N043.39.01.2560004 E001.21.11.4149988
N043.39.01.2039984 E001.21.11.2759992
N043.39.01.1329992 E001.21.11.0829996
N043.39.01.0680012 E001.21.10.9080
N043.39.00.9759996 E001.21.10.6899984
N043.39.00.8619984 E001.21.10.4209992
N043.39.00.7650 E001.21.10.2150
N043.39.00.6909984 E001.21.10.0410012
N043.39.00.6419988 E001.21.09.8600004
N043.39.00.6140016 E001.21.09.6750
N043.39.00.6140016 E001.21.09.4110012
N043.39.00.6379992 E001.21.09.1509984
N043.39.00.6850008 E001.21.08.8130016
N043.39.00.7670016 E001.21.08.4449988
N043.39.00.8349984 E001.21.08.2419984
N043.39.00.9609984 E001.21.08.0020008
N043.39.01.2989988 E001.21.07.4210004
N043.39.05.1279984 E001.21.02.0440008
N043.39.05.2380 E001.21.01.8579996
N043.39.05.4450 E001.21.01.4529996
N043.39.05.4129996 E001.21.01.0730016
N043.39.05.2700004 E001.21.00.9010008
N043.39.05.0339988 E001.21.00.6909984
N043.39.04.7549988 E001.21.01.2489984
N043.39.04.5590004 E001.21.01.5819984
N043.39.03.6650016 E001.21.02.8689984
N043.39.01.8609984 E001.21.05.4069984
N043.39.00.5559984 E001.21.07.1870004
N043.39.00.3989988 E001.21.07.3839996
N043.39.00.3219984 E001.21.07.4670012
N043.39.00.2009988 E001.21.07.5359988
N043.39.00.0339984 E001.21.07.5809988
N043.38.59.7810012 E001.21.07.6240008
N043.38.59.6270004 E001.21.07.6529988
N043.38.59.4150 E001.21.07.6600008
N043.38.59.2890 E001.21.07.6389984
N043.38.59.1839988 E001.21.07.5970008
N043.38.59.1010008 E001.21.07.5369996
N043.38.59.0480016 E001.21.07.4409984
N043.38.59.0060004 E001.21.07.2259992
N043.38.58.9840008 E001.21.06.9000012
N043.38.58.9639992 E001.21.06.5769984
N043.38.58.9650 E001.21.06.3849996
N043.38.58.9750008 E001.21.06.1930008
N043.38.58.9899984 E001.21.06.0980004
N043.38.59.0650008 E001.21.05.9109984
N043.38.59.3409984 E001.21.05.5190016
N043.38.59.5600008 E001.21.05.2480008
N043.38.59.7339996 E001.21.05.0100012
N043.39.01.0220004 E001.21.03.1970016
N043.39.02.4249996 E001.21.01.2359988
N043.39.04.7900016 E001.20.57.9599988
N043.39.04.3490016 E001.20.57.3600012
N043.39.02.5779996 E001.20.59.8239996
N043.39.01.0810008 E001.21.01.8929988
N043.38.59.7800004 E001.21.03.7680012
N043.38.59.0120016 E001.21.04.8129984
N043.38.58.8660 E001.21.04.9569984
N043.38.58.7040 E001.21.05.1040008
N043.38.58.5579984 E001.21.05.2179984
N043.38.58.4040012 E001.21.05.2970004
N043.38.58.2200016 E001.21.05.3300016
N043.38.58.0189992 E001.21.05.3510004
N043.38.57.8730012 E001.21.05.3399988
N043.38.57.7370004 E001.21.05.3200008
N043.38.57.6740004 E001.21.05.2650
N043.38.57.4109988 E001.21.04.9489992
N043.38.57.4019988 E001.21.04.6680012
N043.38.57.4649988 E001.21.04.3350012
N043.38.57.5559996 E001.21.04.0349988
N043.38.57.6790008 E001.21.03.7720008
N043.39.02.2539996 E001.20.57.3330012
N043.39.02.1660012 E001.20.57.2079984
N043.39.03.9139992 E001.20.54.7469988
N043.39.03.5039988 E001.20.54.1629996
N043.39.01.7380008 E001.20.56.5559988
N043.39.01.6499988 E001.20.56.4399996
N043.38.57.2420004 E001.21.02.6669988
N043.38.57.0860016 E001.21.02.8940004
N043.38.56.9979996 E001.21.03.0049992
N043.38.56.8749984 E001.21.03.0819996
N043.38.56.5890 E001.21.03.2569992
N043.38.56.2830 E001.21.03.4260012
N043.38.56.0469984 E001.21.03.5520012
N043.38.55.8960 E001.21.03.5880012
N043.38.55.7030004 E001.21.03.6169992
N043.38.55.4600004 E001.21.03.6439992
N043.38.55.3359984 E001.21.03.6240012
N043.38.55.2180012 E001.21.03.5870004
N043.38.54.9930012 E001.21.03.5139996
N043.38.54.8469996 E001.21.03.4890012
N043.38.54.6929988 E001.21.03.4660008
N043.38.54.5349984 E001.21.03.4719984
N043.38.54.3649992 E001.21.03.5020008
N043.38.53.7879984 E001.21.03.6500004
N043.38.51.3579984 E001.21.04.2360012
N043.38.50.9290008 E001.21.03.8520
N043.38.50.9169984 E001.21.03.6659988
N043.38.51.5760 E001.21.03.2010012
N043.38.51.4510008 E001.21.02.8260
N043.38.50.5669992 E001.21.03.3980004
N043.38.50.3700 E001.21.03.3360012
N043.38.50.0470008 E001.21.03.0480012
N043.38.50.0420004 E001.21.02.9199996
N043.38.50.0640 E001.21.02.8069992
N043.38.50.1119988 E001.21.02.7529992
N043.38.50.8490016 E001.21.02.2449996
N043.38.50.7170004 E001.21.01.8720
N043.38.49.7379984 E001.21.02.5170012
N043.38.49.6399992 E001.21.02.5459992
N043.38.49.4459988 E001.21.02.4810012
N043.38.47.8680 E001.21.01.0239984
N043.38.47.3820 E001.21.00.5789988
N043.38.46.9119984 E001.21.00.1450008
N043.38.46.7509992 E001.21.00.0119988
N043.38.46.3920 E001.20.59.5939992
N043.38.46.1469984 E001.20.59.2969992
N043.38.45.8850012 E001.20.59.8480008
N043.38.46.2609996 E001.21.00.2210004
N043.38.46.6640016 E001.21.00.6009984
N043.38.47.0490 E001.21.00.9299988
N043.38.47.5180008 E001.21.01.3560012
N043.38.48.6179988 E001.21.02.3860008
N043.38.49.0530012 E001.21.02.8500012
N043.38.49.3820016 E001.21.03.2040
N043.38.50.2850004 E001.21.04.2469992
N043.38.50.6820012 E001.21.04.7549988
N043.38.50.9380008 E001.21.05.0580
N043.38.52.6239996 E001.21.06.9670008
N043.38.53.8389996 E001.21.04.9200012
N043.38.54.3630012 E001.21.04.9370004
N043.38.54.7460016 E001.21.04.9730004
N043.38.55.0370004 E001.21.05.0190012
N043.38.55.2670008 E001.21.05.0810004
N043.38.55.4570016 E001.21.05.1480
N043.38.55.6130004 E001.21.05.2369992
N043.38.55.7369988 E001.21.05.3229996
N043.38.55.9089996 E001.21.05.4749988
N043.38.56.5389996 E001.21.06.0400008
N043.38.56.8359996 E001.21.06.3110016
N043.38.57.0860016 E001.21.06.5459988
N043.38.57.2010 E001.21.06.7529988
N043.38.57.2420004 E001.21.07.0130016
N043.38.57.2529984 E001.21.07.2309996
N043.38.57.2129988 E001.21.07.5170016
N043.38.57.1290 E001.21.07.8390
N043.38.56.8269996 E001.21.08.4690
N043.38.55.8600 E001.21.09.8190
N043.38.55.9140 E001.21.09.8899992
N043.38.55.2249996 E001.21.10.9280016
N043.38.55.6789992 E001.21.11.5499988
N043.38.56.3989992 E001.21.10.5249996
N043.38.56.4889992 E001.21.10.6310016
N043.38.57.5909988 E001.21.09.0399996
N043.38.57.7349988 E001.21.08.8700004
N043.38.57.8829984 E001.21.08.7360012
N043.38.58.0859988 E001.21.08.5590
N043.38.58.2699984 E001.21.08.4300012
N043.38.58.4260008 E001.21.08.3689992
N043.38.58.5350016 E001.21.08.3499984
N043.38.58.6020012 E001.21.08.3549988
N043.38.58.6569984 E001.21.08.4060
N043.38.58.9210008 E001.21.08.8229988
N043.38.59.1960012 E001.21.09.2710008
N043.38.59.5219992 E001.21.09.8439984
N043.38.59.7590016 E001.21.10.2679992
N043.38.59.8959996 E001.21.10.5289992
N043.38.59.9880012 E001.21.10.7499996
N043.39.00.0849996 E001.21.11.0340
N043.39.00.1550016 E001.21.11.2899996
N043.39.00.1829988 E001.21.11.5049988
N043.39.00.1900008 E001.21.11.7280008
N043.39.00.1820016 E001.21.11.8860012
N043.39.00.1640016 E001.21.12.0759984
N043.39.00.1260 E001.21.12.2720004
N043.39.00.0759996 E001.21.12.4419996
N043.38.59.9960004 E001.21.12.6669996
N043.38.59.9290008 E001.21.12.8170008
N043.38.59.8400016 E001.21.12.9870
N043.38.59.7350004 E001.21.13.1400
N043.38.59.6289984 E001.21.13.2599988
N043.38.59.5100004 E001.21.13.3760016
N043.38.59.3840004 E001.21.13.4730
N043.38.59.2339992 E001.21.13.5500004
N043.38.58.7839992 E001.21.13.7580012
N043.38.58.5980016 E001.21.13.8309984
N043.38.58.4319984 E001.21.13.8840012
N043.38.57.9360012 E001.21.14.0069988
N043.38.57.7539996 E001.21.14.0389992
N043.38.57.5779992 E001.21.14.0670
N043.38.57.3699984 E001.21.14.0910012
N043.38.57.1419996 E001.21.14.1069996
N043.38.56.7200004 E001.21.14.1300
N043.38.54.2029992 E001.21.14.2679988
N043.38.53.8940004 E001.21.14.2869996
N043.38.53.7259992 E001.21.14.2920
N043.38.53.5729992 E001.21.14.2899984
N043.38.53.4199992 E001.21.14.2769988
N043.38.50.5619988 E001.21.13.9230
N043.38.50.2010016 E001.21.13.8769992
N043.38.50.0160012 E001.21.13.8520008
N043.38.49.8469992 E001.21.13.8309984
N043.38.49.6110012 E001.21.13.7859984
N043.38.47.5320012 E001.21.13.3520004
N043.38.46.4210016 E001.21.13.1180004
N043.38.46.0950 E001.21.13.0370004
N043.38.45.9139992 E001.21.12.9819996
N043.38.45.6309996 E001.21.12.8980008
N043.38.45.2990004 E001.21.12.8080008
N043.38.45.299850795168 E001.21.12.80823132936492
N043.38.45.1340016 E001.21.14.1660
N043.38.45.2990004 E001.21.12.8080008
N043.38.45.6309996 E001.21.12.8980008
N043.38.43.6840008 E001.21.13.7469996
N043.38.45.1340016 E001.21.14.1660
N043.38.45.4009992 E001.21.14.2409988
N043.38.45.8049984 E001.21.14.3600004
N043.38.46.2350004 E001.21.14.4839988
N043.38.46.6080 E001.21.14.5929996
N043.38.46.7840004 E001.21.14.6499984
N043.38.46.9439988 E001.21.14.7330
N043.38.47.1199992 E001.21.14.8569984
N043.38.47.2300008 E001.21.14.9490
N043.38.47.3570016 E001.21.15.0800004
N043.38.47.4920016 E001.21.15.2420004
N043.38.47.6189988 E001.21.15.4320012
N043.38.47.7200004 E001.21.15.6200004
N043.38.47.7859992 E001.21.15.7579992
N043.38.47.8539996 E001.21.15.9350004
N043.38.47.9180004 E001.21.16.1240004
N043.38.47.9659992 E001.21.16.3270008
N043.38.48.0009984 E001.21.16.5229992
N043.38.48.0329988 E001.21.16.7529996
N043.38.48.1290 E001.21.17.6060016
N043.38.48.3650016 E001.21.19.6520004
N043.38.48.5570004 E001.21.21.3019992
N043.38.48.5999988 E001.21.21.6500004
N043.38.48.6350016 E001.21.21.9999996
N043.38.48.6610008 E001.21.22.3800012
N043.38.48.6819996 E001.21.22.8340008
N043.38.48.6970008 E001.21.23.3129988
N043.38.48.7619988 E001.21.25.6659984
N043.38.48.8339988 E001.21.28.2499992
N043.38.48.8349996 E001.21.28.4550012
N043.38.48.8280012 E001.21.28.5620004
N043.38.48.8019984 E001.21.28.6830
N043.38.48.7680 E001.21.28.8010008
N043.38.48.7259988 E001.21.28.8979992
N043.38.48.2960004 E001.21.29.7259992
N043.38.48.2330004 E001.21.29.8360008
N043.38.48.1869996 E001.21.29.8990008
N043.38.48.1350012 E001.21.29.9440008
N043.38.48.0840 E001.21.29.9729988
N043.38.48.0419988 E001.21.29.9790
N043.38.47.9960016 E001.21.29.9639988
N043.38.47.9320008 E001.21.29.9239992
N043.38.47.8420008 E001.21.29.8410012
N043.38.47.4560016 E001.21.29.4130008
N043.38.47.3989992 E001.21.29.3330016
N043.38.47.3380008 E001.21.29.2269996
N043.38.47.2229988 E001.21.28.9749996
N043.38.47.1469992 E001.21.28.7910
N043.38.45.7389996 E001.21.28.9839996
N043.38.45.7710 E001.21.29.4220008
N043.38.45.7720008 E001.21.29.4969996
N043.38.45.7590012 E001.21.29.5679988
N043.38.45.7270008 E001.21.29.6579988
N043.38.45.6069984 E001.21.29.9059992
N043.38.45.5300016 E001.21.30.0530016
N043.38.45.4719984 E001.21.30.1479984
N043.38.45.3890004 E001.21.30.2690016
N043.38.45.2860008 E001.21.30.4049988
N043.38.45.1640004 E001.21.30.5589996
N043.38.45.0399984 E001.21.30.6920016
N043.38.44.9890008 E001.21.30.7320012
N043.38.44.9450016 E001.21.30.7500012
N043.38.44.8810008 E001.21.30.7550016
N043.38.44.7939996 E001.21.30.7450008
N043.38.44.6619984 E001.21.30.7119996
N043.38.44.5269984 E001.21.30.6669996
N043.38.44.4120 E001.21.30.6240012
N043.38.44.2939992 E001.21.30.5660016
N043.38.44.1669984 E001.21.30.4880004
N043.38.44.0340 E001.21.30.3980004
N043.38.43.9630008 E001.21.30.3419988
N043.38.43.8690012 E001.21.30.2490
N043.38.43.7690004 E001.21.30.1430016
N043.38.43.6819992 E001.21.30.0089988
N043.38.43.5149988 E001.21.29.7399996
N043.38.41.7080004 E001.21.26.8340004
N043.38.41.4849984 E001.21.26.4510
N043.38.39.6949992 E001.21.23.1850008
N043.38.39.4400004 E001.21.22.6869984
N043.38.39.1130016 E001.21.22.0110012
N043.38.37.8989988 E001.21.19.5009984
N043.38.37.6599984 E001.21.19.0080
N043.38.37.6080 E001.21.18.8899992
N043.38.37.5420012 E001.21.18.6900012
N043.38.37.4660016 E001.21.18.4299984
N043.38.37.4160012 E001.21.18.1860012
N043.38.37.3729992 E001.21.17.9179992
N043.38.37.3520004 E001.21.17.6780016
N043.38.37.3400016 E001.21.17.4729996
N043.38.37.3359984 E001.21.17.2299996
N043.38.37.3520004 E001.21.16.9949988
N043.38.37.3940016 E001.21.16.7100012
N043.38.37.4510004 E001.21.16.4549988
N043.38.37.5100008 E001.21.16.2699984
N043.38.37.5979992 E001.21.16.0670016
N043.38.37.7440008 E001.21.15.7929984
N043.38.37.8870 E001.21.15.5760012
N043.38.38.5339992 E001.21.14.7229992
N043.38.38.6829996 E001.21.14.5389996
N043.38.38.8579992 E001.21.14.3420004
N043.38.39.0630012 E001.21.14.1450012
N043.38.39.3050004 E001.21.13.9200012
N043.38.39.4689984 E001.21.13.7769984
N043.38.39.6409992 E001.21.13.6379988
N043.38.39.7479984 E001.21.13.5699984
N043.38.39.8690016 E001.21.13.5050004
N043.38.40.0200 E001.21.13.4340012
N043.38.40.1730 E001.21.13.3830
N043.38.40.3320012 E001.21.13.3480008
N043.38.40.4599992 E001.21.13.3300008
N043.38.40.6209984 E001.21.13.3239996
N043.38.40.8059988 E001.21.13.3310016
N043.38.41.0160012 E001.21.13.3599996
N043.38.41.2329984 E001.21.13.3940016
N043.38.41.8319988 E001.21.13.4849988
N043.38.42.7189992 E001.21.13.6230012
N043.38.43.1990016 E001.21.13.6829988
N043.38.43.6840008 E001.21.13.7469996
N043.38.45.6309996 E001.21.12.8980008
N043.38.50.0629992 E001.21.27.6909984
N043.38.49.5449988 E001.21.23.1990012
N043.38.49.5269988 E001.21.23.0339988
N043.38.49.5150 E001.21.22.8409992
N043.38.49.5070008 E001.21.22.5280008
N043.38.49.4990016 E001.21.22.3080012
N043.38.49.4800008 E001.21.21.7479996
N043.38.49.4430 E001.21.20.3820012
N043.38.49.3890 E001.21.18.6059988
N043.38.49.3770012 E001.21.18.2850012
N043.38.49.3720008 E001.21.18.0519984
N043.38.49.3730016 E001.21.17.8949988
N043.38.49.3829988 E001.21.17.7130008
N043.38.49.4070 E001.21.17.5309992
N043.38.49.4459988 E001.21.17.3469996
