N049.10.58.7200008 W000.27.37.2099996 1
N049.10.57.5600016 W000.27.34.8699996 2
N049.10.56.4300012 W000.27.32.2400016 3
N049.10.55.3100016 W000.27.29.6300016 4
N049.10.54.0999984 W000.27.27.0900 5
N049.10.52.8499992 W000.27.24.5800008 6
N049.10.53.8140 W000.27.35.0660016 Parking Herbe
N049.11.00.0570012 W000.27.34.6320 Terminal
N049.10.56.2820016 W000.27.26.5539996 TWR
N049.10.51.9489984 W000.27.17.0250012 ACB
N049.10.47.6810004 W000.27.08.2249992 Hangars
